Attendance Date,In Time,Last Out Time,Was at Work,
27-Mar-18,12:12 PM,10:54 PM,TRUE,
26-Mar-18,12:47 PM,1:05 AM,TRUE,
25-Mar-18,,,FALSE,
24-Mar-18,,,FALSE,
23-Mar-18,12:24 PM,5:53 PM,TRUE,
22-Mar-18,1:50 PM,11:13 PM,TRUE,
21-Mar-18,3:55 PM,12:42 AM,TRUE,
20-Mar-18,12:16 PM,5:32 AM,TRUE,
19-Mar-18,12:28 PM,4:06 AM,TRUE,
18-Mar-18,,,FALSE,
17-Mar-18,,,FALSE,
16-Mar-18,12:59 PM,11:18 PM,TRUE,
15-Mar-18,12:30 PM,11:46 PM,TRUE,
14-Mar-18,1:31 PM,11:20 PM,TRUE,
13-Mar-18,12:51 PM,10:39 PM,TRUE,
12-Mar-18,12:30 PM,3:21 AM,TRUE,
11-Mar-18,,,FALSE,
10-Mar-18,,,FALSE,
9-Mar-18,12:07 PM,11:54 PM,TRUE,
8-Mar-18,12:03 PM,12:23 AM,TRUE,
7-Mar-18,12:21 PM,12:23 AM,TRUE,
6-Mar-18,12:04 PM,12:52 AM,TRUE,
5-Mar-18,1:06 PM,2:27 AM,TRUE,
4-Mar-18,,,FALSE,
3-Mar-18,,,FALSE,
2-Mar-18,8:08 AM,8:08 AM,TRUE,
1-Mar-18,3:22 PM,5:33 AM,TRUE,
28-Feb-18,2:12 PM,5:38 AM,TRUE,
27-Feb-18,1:13 PM,2:41 AM,TRUE,
26-Feb-18,12:22 PM,3:54 AM,TRUE,
25-Feb-18,,,FALSE,
24-Feb-18,,,FALSE,
23-Feb-18,7:01 AM,4:46 AM,TRUE,
22-Feb-18,12:25 PM,4:54 AM,TRUE,
21-Feb-18,12:33 PM,11:50 PM,TRUE,
20-Feb-18,12:02 PM,10:47 PM,TRUE,
19-Feb-18,12:10 PM,11:02 PM,TRUE,
18-Feb-18,,,FALSE,
17-Feb-18,,,FALSE,
16-Feb-18,,,FALSE,
15-Feb-18,1:06 PM,5:27 AM,TRUE,
14-Feb-18,12:47 PM,3:33 AM,TRUE,
13-Feb-18,12:12 PM,11:44 PM,TRUE,
12-Feb-18,12:33 PM,12:58 AM,TRUE,
11-Feb-18,,,FALSE,
10-Feb-18,,,FALSE,
9-Feb-18,12:18 PM,2:07 AM,TRUE,
8-Feb-18,11:43 AM,2:56 AM,TRUE,
7-Feb-18,12:52 PM,11:58 PM,TRUE,
6-Feb-18,12:19 PM,12:02 AM,TRUE,
5-Feb-18,12:13 PM,11:03 PM,TRUE,
4-Feb-18,,,FALSE,
3-Feb-18,,,FALSE,
2-Feb-18,12:37 PM,11:12 PM,TRUE,
1-Feb-18,12:50 PM,10:33 PM,TRUE,
